"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-04-08T06:08:35.872Z[Etc/UTC]","0.0","3.09"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-08T06:08:38.973Z[Etc/UTC]","0.0","0.86"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-08T06:08:39.855Z[Etc/UTC]","0.0","0.62"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-08T06:08:40.481Z[Etc/UTC]","0.0","0.96"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-08T06:08:41.453Z[Etc/UTC]","0.0","0.66"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-04-08T06:08:44.578Z[Etc/UTC]","0.0","3.71"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-08T06:08:48.322Z[Etc/UTC]","0.0","1.08"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-08T06:08:49.402Z[Etc/UTC]","0.0","0.86"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-08T06:08:50.271Z[Etc/UTC]","0.0","1.29"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-08T06:08:51.568Z[Etc/UTC]","0.0","0.87"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-04-08T06:08:56.912Z[Etc/UTC]","0.0","9.79"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-08T06:09:06.712Z[Etc/UTC]","0.0","1.61"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-08T06:09:08.333Z[Etc/UTC]","0.0","1.4"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-08T06:09:09.747Z[Etc/UTC]","0.0","1.53"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-08T06:09:11.289Z[Etc/UTC]","0.0","1.28"
