"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-01T21:51:01.958Z[Etc/UTC]","0.0","1.48"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-01T21:51:03.453Z[Etc/UTC]","0.0","0.64"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-01T21:51:04.099Z[Etc/UTC]","0.0","0.52"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-01T21:51:04.63Z[Etc/UTC]","0.0","0.74"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-01T21:51:05.389Z[Etc/UTC]","0.0","1.09"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-01T21:51:08.721Z[Etc/UTC]","0.0","3.12"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-01T21:51:11.857Z[Etc/UTC]","0.0","0.93"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-01T21:51:12.795Z[Etc/UTC]","0.0","0.82"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-01T21:51:13.632Z[Etc/UTC]","0.0","1.05"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-01T21:51:14.694Z[Etc/UTC]","0.0","1.32"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-01T21:51:19.942Z[Etc/UTC]","0.0","4.07"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-01T21:51:24.041Z[Etc/UTC]","0.0","1.15"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-01T21:51:25.201Z[Etc/UTC]","0.0","1.07"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-01T21:51:26.284Z[Etc/UTC]","0.0","1.4"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-01T21:51:27.692Z[Etc/UTC]","0.0","1.46"
