"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-04-15T00:10:23.285Z[Etc/UTC]","0.0","1.61"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-15T00:10:24.908Z[Etc/UTC]","0.0","0.84"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-15T00:10:25.76Z[Etc/UTC]","0.0","0.5"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-15T00:10:26.268Z[Etc/UTC]","0.0","0.77"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-15T00:10:27.063Z[Etc/UTC]","0.0","0.63"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-04-15T00:10:29.833Z[Etc/UTC]","0.0","3.12"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-15T00:10:32.968Z[Etc/UTC]","0.0","0.97"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-15T00:10:33.94Z[Etc/UTC]","0.0","0.84"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-15T00:10:34.792Z[Etc/UTC]","0.0","1.18"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-15T00:10:35.972Z[Etc/UTC]","0.0","0.86"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-04-15T00:10:40.496Z[Etc/UTC]","0.0","3.34"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-15T00:10:43.871Z[Etc/UTC]","0.0","1.26"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-15T00:10:45.142Z[Etc/UTC]","0.0","0.91"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-15T00:10:46.058Z[Etc/UTC]","0.0","1.49"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-15T00:10:47.559Z[Etc/UTC]","0.0","1.15"
