"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-01-15T08:06:41.422Z[Etc/UTC]","0.0","2.54"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-01-15T08:06:43.978Z[Etc/UTC]","0.0","0.71"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-01-15T08:06:44.692Z[Etc/UTC]","0.0","0.62"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-01-15T08:06:45.331Z[Etc/UTC]","0.0","0.75"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-01-15T08:06:46.094Z[Etc/UTC]","0.0","0.66"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-01-15T08:06:49.397Z[Etc/UTC]","0.0","4.18"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-01-15T08:06:53.61Z[Etc/UTC]","0.0","0.9"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-01-15T08:06:54.523Z[Etc/UTC]","0.0","0.78"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-01-15T08:06:55.31Z[Etc/UTC]","0.0","1.03"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-01-15T08:06:56.354Z[Etc/UTC]","0.0","0.83"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-01-15T08:07:01.203Z[Etc/UTC]","0.0","8.79"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-01-15T08:07:10.008Z[Etc/UTC]","0.0","1.17"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-01-15T08:07:11.178Z[Etc/UTC]","0.0","0.98"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-01-15T08:07:12.163Z[Etc/UTC]","0.0","1.24"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-01-15T08:07:13.421Z[Etc/UTC]","0.0","1.14"
