"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-07-01T16:25:50.296Z[Etc/UTC]","0.0","2.43"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-07-01T16:25:52.741Z[Etc/UTC]","0.0","0.6"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-07-01T16:25:53.346Z[Etc/UTC]","0.0","0.46"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-07-01T16:25:53.828Z[Etc/UTC]","0.0","0.69"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-07-01T16:25:54.532Z[Etc/UTC]","0.0","1.04"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-07-01T16:25:57.71Z[Etc/UTC]","0.0","2.99"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-07-01T16:26:00.708Z[Etc/UTC]","0.0","0.85"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-07-01T16:26:01.558Z[Etc/UTC]","0.0","0.69"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-07-01T16:26:02.252Z[Etc/UTC]","0.0","0.93"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-07-01T16:26:03.192Z[Etc/UTC]","0.0","1.2"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-07-01T16:26:07.809Z[Etc/UTC]","0.0","7.61"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-07-01T16:26:15.432Z[Etc/UTC]","0.0","1.1"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-07-01T16:26:16.534Z[Etc/UTC]","0.0","0.92"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-07-01T16:26:17.46Z[Etc/UTC]","0.0","1.19"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-07-01T16:26:18.655Z[Etc/UTC]","0.0","1.39"
