"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-08-08T22:11:06.197Z[Etc/UTC]","0.0","1.67"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-08-08T22:11:07.877Z[Etc/UTC]","0.0","0.63"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-08-08T22:11:08.515Z[Etc/UTC]","0.0","0.53"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-08-08T22:11:09.057Z[Etc/UTC]","0.0","0.72"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-08-08T22:11:09.795Z[Etc/UTC]","0.0","1.0"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-08-08T22:11:13.666Z[Etc/UTC]","0.0","2.98"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-08-08T22:11:16.649Z[Etc/UTC]","0.0","0.89"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-08-08T22:11:17.551Z[Etc/UTC]","0.0","0.72"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-08-08T22:11:18.291Z[Etc/UTC]","0.0","0.95"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-08-08T22:11:19.254Z[Etc/UTC]","0.0","1.23"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-08-08T22:11:26.646Z[Etc/UTC]","0.0","3.95"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-08-08T22:11:30.619Z[Etc/UTC]","0.0","1.17"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-08-08T22:11:31.802Z[Etc/UTC]","0.0","0.96"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-08-08T22:11:32.773Z[Etc/UTC]","0.0","1.15"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-08-08T22:11:33.931Z[Etc/UTC]","0.0","1.39"
