"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-13T11:31:38.784Z[Etc/UTC]","0.0","2.55"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-13T11:31:41.343Z[Etc/UTC]","0.0","0.67"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-13T11:31:42.015Z[Etc/UTC]","0.0","0.54"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-13T11:31:42.577Z[Etc/UTC]","0.0","0.7"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-13T11:31:43.28Z[Etc/UTC]","0.0","1.02"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-13T11:31:46.513Z[Etc/UTC]","0.0","4.25"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-13T11:31:50.771Z[Etc/UTC]","0.0","0.9"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-13T11:31:51.673Z[Etc/UTC]","0.0","0.76"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-13T11:31:52.446Z[Etc/UTC]","0.0","0.94"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-13T11:31:53.392Z[Etc/UTC]","0.0","1.24"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-13T11:31:58.424Z[Etc/UTC]","0.0","10.5"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-13T11:32:08.933Z[Etc/UTC]","0.0","1.13"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-13T11:32:10.064Z[Etc/UTC]","0.0","0.9"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-13T11:32:10.964Z[Etc/UTC]","0.0","1.15"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-13T11:32:12.119Z[Etc/UTC]","0.0","1.39"
