"Story","Title","Result","Date","Stability","Duration (s)"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-10-23T11:29:02.48Z[Etc/UTC]","0.0","0.75"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-10-23T11:29:03.247Z[Etc/UTC]","0.0","1.32"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-10-23T11:29:04.578Z[Etc/UTC]","0.0","1.3"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-10-23T11:29:05.9Z[Etc/UTC]","0.0","0.8"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-10-23T11:29:06.707Z[Etc/UTC]","0.0","0.65"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-10-23T11:29:07.36Z[Etc/UTC]","0.0","0.91"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-10-23T11:29:08.271Z[Etc/UTC]","0.0","1.19"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-10-23T11:29:12.897Z[Etc/UTC]","0.0","1.77"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-10-23T11:29:14.683Z[Etc/UTC]","0.0","1.35"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-10-23T11:29:16.045Z[Etc/UTC]","0.0","1.66"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-10-23T11:29:17.714Z[Etc/UTC]","0.0","0.98"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-10-23T11:29:18.709Z[Etc/UTC]","0.0","0.8"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-10-23T11:29:19.523Z[Etc/UTC]","0.0","1.1"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-10-23T11:29:20.635Z[Etc/UTC]","0.0","1.51"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-10-23T11:29:28.667Z[Etc/UTC]","0.0","3.42"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-10-23T11:29:32.102Z[Etc/UTC]","0.0","1.67"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-10-23T11:29:33.789Z[Etc/UTC]","0.0","2.3"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-10-23T11:29:36.103Z[Etc/UTC]","0.0","1.19"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-10-23T11:29:37.311Z[Etc/UTC]","0.0","1.09"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-10-23T11:29:38.405Z[Etc/UTC]","0.0","1.31"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-10-23T11:29:39.736Z[Etc/UTC]","0.0","1.57"
